   ;COD_MUN;COD_IBGE
250;20709  ;2920700 
251;20806  ;2920809 
252;20903  ;2920908 
253;21006  ;2921005 
254;41608  ;2921054 
255;21103  ;2921104 
256;21200  ;2921203 
257;21307  ;2921302 
258;21404  ;2921401 
259;41103  ;2921450 
260;21501  ;2921500 
261;21608  ;2921609 
262;21705  ;2921708 
263;21802  ;2921807 
264;21909  ;2921906 
265;22002  ;2922003 
266;40204  ;2922052 
267;22109  ;2922102 
268;22206  ;2922201 
269;39708  ;2922250 
270;22303  ;2922300 
271;22400  ;2922409 
272;22507  ;2922508 
273;22604  ;2922607 
274;35704  ;2922656 
275;22701  ;2922706 
276;41006  ;2922730 
277;40107  ;2922755 
278;22808  ;2922805 
279;37900  ;2922854 
280;22905  ;2922904 
281;23008  ;2923001 
282;40806  ;2923035 
283;38003  ;2923050 
284;23105  ;2923100 
285;23202  ;2923209 
286;23309  ;2923308 
287;40505  ;2923357 
288;23406  ;2923407 
289;23503  ;2923506 
290;23600  ;2923605 
291;23707  ;2923704 
292;23804  ;2923803 
293;23901  ;2923902 
294;24004  ;2924009 
295;35801  ;2924058 
296;24101  ;2924108 
297;24208  ;2924207 
298;24305  ;2924306 
299;24402  ;2924405 
300;24509  ;2924504 
301;24606  ;2924603 
302;35908  ;2924652 
303;38100  ;2924678 
304;24703  ;2924702 
305;24800  ;2924801 
306;24907  ;2924900 
307;25000  ;2925006 
308;25107  ;2925105 
309;25204  ;2925204 
310;38207  ;2925253 
311;25301  ;2925303 
312;25408  ;2925402 
313;25505  ;2925501 
314;25602  ;2925600 
315;25709  ;2925709 
316;38304  ;2925758 
317;25806  ;2925808 
318;25903  ;2925907 
319;40709  ;2925931 
320;36001  ;2925956 
321;26006  ;2926004 
322;26103  ;2926103 
323;26200  ;2926202 
324;26307  ;2926301 
325;26404  ;2926400 
326;26501  ;2926509 
327;26608  ;2926608 
328;37007  ;2926657 
329;26705  ;2926707 
330;26802  ;2926806 
331;26909  ;2926905 
332;27002  ;2927002 
333;27109  ;2927101 
334;27206  ;2927200 
335;27303  ;2927309 
336;27400  ;2927408 
337;27507  ;2927507 
338;27604  ;2927606 
339;27701  ;2927705 
340;27808  ;2927804 
341;27905  ;2927903 
342;36108  ;2928059 
343;28105  ;2928109 
344;28406  ;2928406 
345;28503  ;2928505 
346;28008  ;2928000 
347;28202  ;2928208 
348;28309  ;2928307 
349;28600  ;2928604 
350;28707  ;2928703 
351;28804  ;2928802 
352;28901  ;2928901 
353;39300  ;2928950 
354;29004  ;2929107 
355;29101  ;2929008 
356;39902  ;2929057 
357;29208  ;2929206 
358;36205  ;2929255 
359;29305  ;2929305 
360;39407  ;2929354 
361;41200  ;2929370 
362;29402  ;2929404 
363;29509  ;2929503 
364;29606  ;2929602 
365;29703  ;2929701 
366;39504  ;2929750 
367;29800  ;2929800 
368;29907  ;2929909 
369;30005  ;2930006 
370;30102  ;2930105 
371;30209  ;2930204 
372;40602  ;2930154 
373;30306  ;2930303 
374;30403  ;2930402 
375;30500  ;2930501 
376;30607  ;2930600 
377;30704  ;2930709 
378;38401  ;2930758 
379;38906  ;2930766 
380;38508  ;2930774 
381;30801  ;2930808 
382;30908  ;2930907 
383;31001  ;2931004 
384;36302  ;2931053 
385;31108  ;2931103 
386;31205  ;2931202 
387;31302  ;2931301 
388;36409  ;2931350 
389;31409  ;2931400 
390;31506  ;2931509 
391;31603  ;2931608 
392;31700  ;2931707 
393;31807  ;2931806 
394;31904  ;2931905 
395;32007  ;2932002 
396;32104  ;2932101 
397;32201  ;2932200 
398;32308  ;2932309 
399;32405  ;2932408 
400;38605  ;2932457 
401;32502  ;2932507 
402;32609  ;2932606 
403;32706  ;2932705 
404;32803  ;2932804 
405;32900  ;2932903 
406;33003  ;2933000 
407;36506  ;2933059 
408;33100  ;2933109 
409;36603  ;2933158 
410;39009  ;2933174 
411;33207  ;2933208 
412;38702  ;2933257 
413;33304  ;2933307 
414;33401  ;2933406 
415;36700  ;2933455 
416;33508  ;2933505 
417;33605  ;2933604 
